Postal Code;Borough;Neighborhood;Latitude;Longitude;Cluster Labels;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
M4S;Central Toronto;Davisville;43.7043244;-79.3887901;0.0;Coffee Shop;Italian Restaurant;Pizza Place;Gym;Dessert Shop;Sandwich Place;Café;Restaurant;Indian Restaurant;Sushi Restaurant
M4T;Central Toronto;Moore Park, Summerhill East;43.6895743;-79.38315990000001;6.0;Park;Grocery Store;Thai Restaurant;Tennis Court;Café;Candy Store;Sandwich Place;Gym / Fitness Center;Gym;Japanese Restaurant
M4V;Central Toronto;Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park;43.68641229999999;-79.4000493;0.0;Coffee Shop;Sushi Restaurant;Italian Restaurant;Pizza Place;Grocery Store;Skating Rink;Café;Bank;Thai Restaurant;Gym
M4W;Downtown Toronto;Rosedale;43.6795626;-79.37752940000001;1.0;Park;Trail;Candy Store;Playground;Dry Cleaner;Distribution Center;Dive Bar;Dog Run;Doner Restaurant;Donut Shop
M4X;Downtown Toronto;St. James Town, Cabbagetown;43.667967;-79.3676753;0.0;Coffee Shop;Pizza Place;Grocery Store;Restaurant;Park;Café;Bakery;Pharmacy;Japanese Restaurant;Pub
M4Y;Downtown Toronto;Church and Wellesley;43.6658599;-79.38315990000001;0.0;Coffee Shop;Japanese Restaurant;Sushi Restaurant;Sandwich Place;Restaurant;Men's Store;Yoga Studio;Mediterranean Restaurant;Salad Place;Ramen Restaurant
M5A;Downtown Toronto;Regent Park, Harbourfront;43.6542599;-79.3606359;0.0;Coffee Shop;Restaurant;Park;Italian Restaurant;Café;Theater;Pub;Bakery;Thai Restaurant;Cosmetics Shop
M5B;Downtown Toronto;Garden District, Ryerson;43.6571618;-79.37893709999999;0.0;Coffee Shop;Clothing Store;Japanese Restaurant;Hotel;Sandwich Place;Café;Restaurant;Bookstore;Sushi Restaurant;Middle Eastern Restaurant
M5C;Downtown Toronto;St. James Town;43.6514939;-79.3754179;0.0;Café;Coffee Shop;Seafood Restaurant;Cosmetics Shop;Restaurant;Japanese Restaurant;Clothing Store;Bakery;Gastropub;Art Gallery
M5E;Downtown Toronto;Berczy Park;43.644770799999996;-79.3733064;0.0;Coffee Shop;Bakery;Hotel;Café;Italian Restaurant;Japanese Restaurant;Restaurant;Beer Bar;Creperie;Cheese Shop
M5G;Downtown Toronto;Central Bay Street;43.6579524;-79.3873826;0.0;Coffee Shop;Café;Clothing Store;Art Gallery;Japanese Restaurant;Burrito Place;Plaza;Movie Theater;Middle Eastern Restaurant;Sushi Restaurant
M5H;Downtown Toronto;Richmond, Adelaide, King;43.65057120000001;-79.3845675;0.0;Coffee Shop;Hotel;Café;Clothing Store;Theater;Restaurant;Furniture / Home Store;Thai Restaurant;Breakfast Spot;Bakery
M5J;Downtown Toronto;Harbourfront East, Union Station, Toronto Islands;43.6408157;-79.38175229999999;0.0;Coffee Shop;Boat or Ferry;Hotel;Restaurant;Bar;Park;Brewery;Japanese Restaurant;Pizza Place;Plaza
M5K;Downtown Toronto;Toronto Dominion Centre, Design Exchange;43.6471768;-79.38157640000001;0.0;Coffee Shop;Hotel;Café;Restaurant;Bakery;Seafood Restaurant;Gym;Japanese Restaurant;American Restaurant;Plaza
M5L;Downtown Toronto;Commerce Court, Victoria Hotel;43.6481985;-79.37981690000001;0.0;Coffee Shop;Café;Japanese Restaurant;Hotel;Restaurant;Bakery;Gym;Concert Hall;Seafood Restaurant;Beer Bar
